accident_id,date,region,weather,road_type,speed_limit,vehicles,casualties,severity
A001,2024-01-05,North,Clear,Motorway,70,2,1,Slight
A002,2024-01-12,South,Rain,Urban,30,3,2,Serious
A003,2024-02-03,North,Clear,Rural,60,1,0,Slight
A004,2024-02-18,East,Fog,Urban,30,2,3,Fatal
A005,2024-03-01,West,Rain,Motorway,70,4,1,Slight
A006,2024-03-15,South,Clear,Rural,50,2,0,Slight
A007,2024-04-02,North,Rain,Urban,40,3,2,Serious
A008,2024-04-20,East,Clear,Motorway,70,2,1,Slight
A009,2024-05-08,West,Snow,Rural,40,1,1,Serious
A010,2024-05-22,South,Clear,Urban,30,2,0,Slight
A011,2024-06-04,North,Rain,Motorway,70,5,4,Fatal
A012,2024-06-19,East,Clear,Urban,30,2,1,Slight
A013,2024-07-07,West,Clear,Rural,60,1,0,Slight
A014,2024-07-25,South,Rain,Urban,30,3,2,Serious
A015,2024-08-11,North,Clear,Motorway,70,2,1,Slight
A016,2024-08-28,East,Fog,Rural,50,2,2,Serious
A017,2024-09-09,West,Rain,Urban,30,4,3,Fatal
A018,2024-09-21,South,Clear,Motorway,70,2,0,Slight
A019,2024-10-05,North,Clear,Urban,40,1,1,Slight
A020,2024-10-18,East,Rain,Rural,60,3,2,Serious
